Date,Argentina
28/05/06,207
04/06/06,211
11/06/06,219
18/06/06,223
25/06/06,243
02/07/06,232
09/07/06,261
16/07/06,272
23/07/06,252
30/07/06,215
06/08/06,238
13/08/06,228
20/08/06,250
27/08/06,271
03/09/06,234
10/09/06,234
17/09/06,232
24/09/06,227
01/10/06,200
08/10/06,191
15/10/06,182
22/10/06,167
29/10/06,174
05/11/06,160
12/11/06,180
19/11/06,165
26/11/06,141
03/12/06,109
10/12/06,109
17/12/06,93
24/12/06,87
31/12/06,80
07/01/07,82
14/01/07,94
21/01/07,100
28/01/07,106
04/02/07,108
11/02/07,104
18/02/07,111
25/02/07,102
04/03/07,98
11/03/07,118
18/03/07,125
25/03/07,131
01/04/07,129
08/04/07,138
15/04/07,158
22/04/07,180
29/04/07,182
06/05/07,219
13/05/07,265
20/05/07,319
27/05/07,339
03/06/07,380
10/06/07,373
17/06/07,344
24/06/07,372
01/07/07,379
08/07/07,339
15/07/07,379
22/07/07,346
29/07/07,285
05/08/07,293
12/08/07,287
19/08/07,256
26/08/07,269
02/09/07,239
09/09/07,188
16/09/07,175
23/09/07,191
30/09/07,180
07/10/07,171
14/10/07,162
21/10/07,171
28/10/07,174
04/11/07,165
11/11/07,152
18/11/07,149
25/11/07,144
02/12/07,123
09/12/07,108
16/12/07,96
23/12/07,91
30/12/07,78
06/01/08,93
13/01/08,89
20/01/08,93
27/01/08,89
03/02/08,89
10/02/08,91
17/02/08,97
24/02/08,98
02/03/08,92
09/03/08,126
16/03/08,151
23/03/08,145
30/03/08,150
06/04/08,161
13/04/08,174
20/04/08,188
27/04/08,173
04/05/08,186
11/05/08,197
18/05/08,210
25/05/08,217
01/06/08,266
08/06/08,343
15/06/08,381
22/06/08,411
29/06/08,372
06/07/08,371
13/07/08,319
20/07/08,261
27/07/08,216
03/08/08,201
10/08/08,220
17/08/08,210
24/08/08,206
31/08/08,193
07/09/08,191
14/09/08,189
21/09/08,190
28/09/08,179
05/10/08,182
12/10/08,157
19/10/08,162
26/10/08,154
02/11/08,154
09/11/08,138
16/11/08,133
23/11/08,112
30/11/08,102
07/12/08,102
14/12/08,102
21/12/08,84
28/12/08,89
04/01/09,98
11/01/09,88
18/01/09,90
25/01/09,89
01/02/09,88
08/02/09,86
15/02/09,84
22/02/09,91
01/03/09,89
08/03/09,98
15/03/09,119
22/03/09,118
29/03/09,113
05/04/09,117
12/04/09,129
19/04/09,138
26/04/09,154
03/05/09,166
10/05/09,164
17/05/09,166
24/05/09,190
31/05/09,232
07/06/09,308
14/06/09,399
21/06/09,431
28/06/09,442
05/07/09,324
12/07/09,238
19/07/09,158
26/07/09,170
02/08/09,153
09/08/09,149
16/08/09,159
23/08/09,166
30/08/09,150
06/09/09,144
13/09/09,145
20/09/09,145
27/09/09,149
04/10/09,142
11/10/09,144
18/10/09,141
25/10/09,141
01/11/09,125
08/11/09,123
15/11/09,117
22/11/09,97
29/11/09,88
06/12/09,83
13/12/09,87
20/12/09,63
27/12/09,64
03/01/10,62
10/01/10,62
17/01/10,67
24/01/10,67
31/01/10,65
07/02/10,70
14/02/10,68
21/02/10,71
28/02/10,70
07/03/10,71
14/03/10,92
21/03/10,98
28/03/10,95
04/04/10,109
11/04/10,114
18/04/10,127
25/04/10,142
02/05/10,134
09/05/10,163
16/05/10,180
23/05/10,186
30/05/10,186
06/06/10,196
13/06/10,210
20/06/10,207
27/06/10,211
04/07/10,187
11/07/10,200
18/07/10,185
25/07/10,192
01/08/10,175
08/08/10,194
15/08/10,187
22/08/10,181
29/08/10,165
05/09/10,153
12/09/10,143
19/09/10,138
26/09/10,150
03/10/10,155
10/10/10,146
17/10/10,154
24/10/10,145
31/10/10,149
07/11/10,133
14/11/10,139
21/11/10,124
28/11/10,106
05/12/10,91
12/12/10,90
19/12/10,71
26/12/10,70
02/01/11,67
09/01/11,63
16/01/11,62
23/01/11,65
30/01/11,67
06/02/11,67
13/02/11,67
20/02/11,62
27/02/11,62
06/03/11,61
13/03/11,77
20/03/11,89
27/03/11,104
03/04/11,106
10/04/11,107
17/04/11,99
24/04/11,115
01/05/11,120
08/05/11,126
15/05/11,134
22/05/11,137
29/05/11,154
05/06/11,162
12/06/11,173
19/06/11,160
26/06/11,179
03/07/11,190
10/07/11,189
17/07/11,165
24/07/11,146
31/07/11,144
07/08/11,140
14/08/11,134
21/08/11,152
28/08/11,147
04/09/11,145
11/09/11,116
18/09/11,100
25/09/11,95
02/10/11,88
09/10/11,81
16/10/11,89
23/10/11,91
30/10/11,92
06/11/11,85
13/11/11,85
20/11/11,77
27/11/11,68
04/12/11,62
11/12/11,62
18/12/11,56
25/12/11,57
01/01/12,58
08/01/12,55
15/01/12,56
22/01/12,57
29/01/12,56
05/02/12,56
12/02/12,54
19/02/12,57
26/02/12,63
04/03/12,64
11/03/12,72
18/03/12,79
25/03/12,92
01/04/12,86
08/04/12,96
15/04/12,93
22/04/12,98
29/04/12,108
06/05/12,121
13/05/12,132
20/05/12,143
27/05/12,160
03/06/12,184
10/06/12,200
17/06/12,191
24/06/12,197
01/07/12,171
08/07/12,166
15/07/12,152
22/07/12,157
29/07/12,148
05/08/12,144
12/08/12,147
19/08/12,159
26/08/12,168
02/09/12,166
09/09/12,175
16/09/12,164
23/09/12,161
30/09/12,147
07/10/12,141
14/10/12,132
21/10/12,122
28/10/12,118
04/11/12,102
11/11/12,105
18/11/12,98
25/11/12,93
02/12/12,84
09/12/12,79
16/12/12,76
23/12/12,75
30/12/12,77
06/01/13,70
13/01/13,72
20/01/13,71
27/01/13,69
03/02/13,78
10/02/13,77
17/02/13,75
24/02/13,78
03/03/13,76
10/03/13,84
17/03/13,107
24/03/13,113
31/03/13,94
07/04/13,103
14/04/13,106
21/04/13,105
28/04/13,95
05/05/13,109
12/05/13,128
19/05/13,156
26/05/13,180
02/06/13,207
09/06/13,218
16/06/13,221
23/06/13,238
30/06/13,232
07/07/13,216
14/07/13,191
21/07/13,187
28/07/13,173
04/08/13,164
11/08/13,170
18/08/13,180
25/08/13,186
01/09/13,178
08/09/13,147
15/09/13,125
22/09/13,130
29/09/13,136
06/10/13,128
13/10/13,113
20/10/13,106
27/10/13,98
03/11/13,99
10/11/13,98
17/11/13,93
24/11/13,88
01/12/13,81
08/12/13,75
15/12/13,69
22/12/13,67
29/12/13,69
05/01/14,70
12/01/14,76
19/01/14,72
26/01/14,80
02/02/14,76
09/02/14,70
16/02/14,71
23/02/14,78
02/03/14,82
09/03/14,91
16/03/14,104
23/03/14,118
30/03/14,107
06/04/14,101
13/04/14,110
20/04/14,125
27/04/14,123
04/05/14,138
